cod_municipio,cod_grande_reg,cod_unidade_fed,nome_grande_reg,nome_unidade_fed,nome_municipio,pib,pib_per_capita
3304144,3,33,Sudeste     ,Rio de Janeiro     ,Queimados                               ,4668405.352       ,32301.71          
3304151,3,33,Sudeste     ,Rio de Janeiro     ,Quissamã                                ,995114.741        ,43031.99          
3304201,3,33,Sudeste     ,Rio de Janeiro     ,Resende                                 ,6332463.377       ,50224.16          
3304300,3,33,Sudeste     ,Rio de Janeiro     ,Rio Bonito                              ,1543307.595       ,26625.74          
3304409,3,33,Sudeste     ,Rio de Janeiro     ,Rio Claro                               ,334234.923        ,18724.65          
3304508,3,33,Sudeste     ,Rio de Janeiro     ,Rio das Flores                          ,256668.225        ,28700.46          
3304524,3,33,Sudeste     ,Rio de Janeiro     ,Rio das Ostras                          ,4888905.393       ,35783.13          
3304557,3,33,Sudeste     ,Rio de Janeiro     ,Rio de Janeiro                          ,328440481.384     ,50538.35          
3304607,3,33,Sudeste     ,Rio de Janeiro     ,Santa Maria Madalena                    ,168831.584        ,16555.36          
3304706,3,33,Sudeste     ,Rio de Janeiro     ,Santo Antônio de Pádua                  ,1077168.633       ,26115.71          
3304755,3,33,Sudeste     ,Rio de Janeiro     ,São Francisco de Itabapoana             ,956780.276        ,23200.30          
3304805,3,33,Sudeste     ,Rio de Janeiro     ,São Fidélis                             ,729989.322        ,19365.17          
3304904,3,33,Sudeste     ,Rio de Janeiro     ,São Gonçalo                             ,16903509.590      ,16190.20          
3305000,3,33,Sudeste     ,Rio de Janeiro     ,São João da Barra                       ,3890154.695       ,111516.88         
3305109,3,33,Sudeste     ,Rio de Janeiro     ,São João de Meriti                      ,9405813.855       ,20423.40          
3305133,3,33,Sudeste     ,Rio de Janeiro     ,São José de Ubá                         ,182163.720        ,25174.64          
3305158,3,33,Sudeste     ,Rio de Janeiro     ,São José do Vale do Rio Preto           ,452906.229        ,21549.52          
3305208,3,33,Sudeste     ,Rio de Janeiro     ,São Pedro da Aldeia                     ,2036819.627       ,20684.67          
